col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,scores,anomaly
18.48,9.22,11.279,210.0,190.2,194.9,200.2,205.1,52.34,31.876469,39.877926,0.0,no
18.5,9.18,11.372001,210.0,190.2,194.9,200.2,205.1,52.36,31.74944,39.865593,0.0,no
18.48,9.200000000000001,11.212001,209.9,190.2,194.8,200.2,205.1,52.32,31.220245,39.976574,0.0,no
18.46,9.16,11.158001,209.9,189.9,194.8,200.1,205.1,52.28,31.884537,39.877926,0.0,no
18.48,9.200000000000001,11.249001,210.2,190.2,194.9,200.1,205.1,52.32,32.113495,39.988903,0.0,no
18.48,9.16,11.286,210.1,190.2,194.9,200.1,205.0,52.36,31.647625,39.902588,0.0,no
18.48,9.200000000000001,11.271001,210.0,190.2,194.9,200.1,204.8,52.34,30.686188,39.976574,0.0,no
18.46,9.200000000000001,11.109,210.0,189.8,194.9,200.0,204.8,52.36,31.807137,39.988903,0.0,no
18.46,9.22,11.149,209.9,189.9,194.9,200.0,204.8,52.32,31.881542,39.988903,0.0,no
18.5,9.18,11.376,210.2,190.2,194.9,200.0,204.8,52.34,31.672096,40.025894,0.0,no
18.5,9.22,11.411,210.2,190.2,195.2,200.0,204.8,52.4,31.81057,39.988903,0.0,no
18.44,9.24,10.993001,210.0,190.0,195.2,200.0,204.8,52.300000000000004,31.850204,39.877926,0.0,no
18.46,9.26,11.178,209.9,190.2,195.2,199.8,204.8,52.38,31.66706,40.013565,0.0,no
18.46,9.24,11.203,209.9,190.2,195.2,199.9,204.8,52.36,31.817455,39.976574,0.0,no
18.48,9.22,11.221001,210.2,190.0,195.2,199.9,204.9,52.4,31.672344,40.038227,0.0,no
18.48,9.22,11.221001,210.2,189.9,195.2,199.9,204.9,52.4,30.471115,40.013565,0.0,no
18.48,9.14,11.213,210.0,189.9,195.2,199.9,204.9,52.34,31.900673,39.93958,0.0,no
18.48,9.200000000000001,11.264001,210.0,189.9,195.1,199.9,204.9,52.300000000000004,31.776257,39.877926,0.0,no
18.48,9.200000000000001,11.264001,209.9,189.9,195.1,199.9,204.9,52.300000000000004,30.318832,40.050556,0.0,no
18.5,9.18,11.129001,210.2,189.9,195.0,199.9,204.9,52.36,31.9697,39.988903,0.0,no
18.48,9.200000000000001,11.225,210.0,190.2,194.8,199.9,205.2,52.32,31.69508,39.976574,0.0,no
18.5,9.22,11.367001,210.0,190.2,194.8,199.9,205.2,52.34,30.80101,39.890255,0.0,no
18.46,9.22,11.093,210.0,190.2,194.8,199.9,205.2,52.300000000000004,31.795158,39.92725,0.0,no
18.46,9.24,11.196,209.9,189.9,194.9,200.2,205.2,52.300000000000004,31.94418,39.902588,0.0,no
18.48,9.22,11.262,210.2,189.9,194.8,200.2,205.2,52.28,31.780052,39.96424,0.0,no
18.48,9.18,11.324,210.1,189.9,194.9,200.2,205.2,52.32,30.470886,39.816273,0.0,no
18.5,9.18,11.303,210.0,189.9,194.9,200.2,205.2,52.32,31.843758,39.93958,0.0,no
18.46,9.22,11.141001,210.0,190.2,194.9,200.2,205.2,52.28,31.943378,39.8286,0.0,no
18.48,9.22,11.280001,210.0,190.2,194.9,200.2,205.2,52.32,31.964607,39.951912,0.0,no
18.46,9.24,11.1970005,210.0,190.2,195.2,200.2,205.2,52.36,30.271454,39.93958,0.0,no
18.5,9.22,11.292001,210.0,190.1,195.2,200.2,205.2,52.32,31.927757,39.865593,0.0,no
18.48,9.22,11.279,209.9,189.9,195.2,200.2,205.2,52.300000000000004,31.739979,39.902588,0.0,no
18.48,9.18,11.327001,209.9,190.2,195.2,200.2,205.1,52.34,31.14582,39.80394,0.0,no
18.46,9.200000000000001,11.102,210.2,190.2,195.2,200.1,205.1,52.32,31.829033,39.890255,0.0,no
18.48,9.22,11.245001,210.1,190.2,195.2,200.1,205.0,52.34,31.866283,39.951912,0.0,no
18.46,9.200000000000001,11.152,210.0,190.2,195.2,200.1,205.0,52.34,31.754799,39.853264,0.0,no
18.48,9.200000000000001,11.264001,209.9,190.2,195.2,200.1,205.0,52.32,31.934757,39.976574,0.0,no
18.46,9.200000000000001,11.129001,209.9,190.2,195.1,200.0,204.8,52.32,31.911945,39.96424,0.0,no
18.46,9.22,11.093,210.2,190.0,195.2,200.0,204.8,52.300000000000004,31.791935,40.013565,0.0,no
18.48,9.18,11.226001,210.1,189.9,195.1,200.0,204.8,52.32,31.409569,40.013565,0.0,no
