col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,scores,anomaly
19.06,9.3,11.2300005,225.0,190.2,195.2,199.9,204.9,52.96,43.55526,49.80425,0.0,no
19.06,9.26,11.154,225.1,190.1,195.2,200.2,204.9,52.980000000000004,43.705845,49.79192,0.0,no
19.0,9.28,10.883,225.0,190.2,195.1,200.2,205.2,52.88,44.256096,49.730263,0.0,no
19.04,9.200000000000001,11.162001,225.0,190.4,195.2,200.2,205.2,52.9,44.429836,49.65628,0.0,no
19.06,9.24,11.226001,224.8,190.4,195.2,200.2,205.2,52.96,44.50157,49.717934,0.0,no
19.06,9.200000000000001,11.204,224.9,190.1,195.1,200.2,205.2,52.96,44.75006,49.853573,0.0,no
19.0,9.32,10.877001,225.2,190.2,195.1,200.2,205.2,52.88,31.98658,49.63162,0.0,no
19.04,9.28,11.125001,225.1,190.2,195.1,200.1,205.2,52.9,40.584984,49.779587,0.0,no
19.02,9.28,11.068001,225.0,190.1,195.1,200.1,205.2,52.92,43.522797,49.754925,0.0,no
18.98,9.28,10.678,225.0,189.9,195.1,200.1,205.2,52.9,44.23809,49.69327,0.0,no
19.04,9.28,11.1640005,225.0,189.9,195.1,200.1,205.1,52.94,44.450073,49.7056,0.0,no
19.02,9.32,10.861,225.0,189.9,195.0,200.1,205.1,52.88,44.443512,49.66861,0.0,no
19.0,9.32,10.932,225.0,189.9,194.9,200.1,205.1,52.9,44.746742,49.69327,0.0,no
19.04,9.3,11.074,224.9,189.9,194.8,200.1,205.1,52.9,35.626965,49.717934,0.0,no
19.04,9.28,10.975,225.2,189.9,194.8,200.1,205.1,52.94,39.168243,49.767258,0.0,no
19.0,9.28,10.959001,225.1,189.9,194.8,200.1,205.1,52.9,43.288956,49.643948,0.0,no
19.02,9.34,10.978001,225.0,189.9,194.9,200.0,205.1,52.9,43.943367,49.63162,0.0,no
19.02,9.28,11.036,225.2,189.8,194.9,200.0,205.1,52.92,44.45385,49.779587,0.0,no
19.02,9.22,11.092001,225.2,189.9,194.9,200.0,205.1,52.88,44.47979,49.81658,0.0,no
19.0,9.34,10.916,224.9,190.2,194.9,199.8,205.0,52.9,45.266895,49.717934,0.0,no
19.02,9.22,11.0130005,224.9,190.0,194.9,199.8,204.8,52.9,36.05503,49.84124,0.0,no
19.02,9.32,11.098001,225.2,190.2,194.9,199.8,204.8,52.92,40.892296,49.939888,0.0,no
19.04,9.26,11.226001,225.0,190.2,194.9,199.8,204.8,52.92,42.557144,49.865902,0.0,no
19.04,9.28,11.1,225.1,190.1,194.9,199.8,204.8,52.9,43.394394,49.890564,0.0,no
19.02,9.28,11.067,225.1,189.9,194.9,199.8,204.8,52.92,43.750782,49.878235,0.0,no
19.06,9.32,11.246,225.1,190.2,195.2,199.8,204.8,52.94,44.118614,49.878235,0.0,no
19.06,9.24,11.185,225.0,190.1,195.2,199.9,204.9,52.980000000000004,44.321842,49.890564,0.0,no
19.02,9.34,10.9140005,225.2,190.2,195.2,199.9,204.9,52.92,44.443035,49.767258,0.0,no
19.080000000000002,9.26,11.223001,225.1,190.2,195.2,199.9,204.9,52.96,44.464397,49.79192,0.0,no
19.02,9.32,10.990001,225.0,190.2,195.2,199.9,204.9,52.94,44.442577,49.79192,0.0,no
19.04,9.36,11.190001,225.2,190.2,195.2,199.9,204.9,52.92,44.67804,49.742596,0.0,no
19.080000000000002,9.22,11.250001,225.1,190.2,195.2,199.9,204.9,52.980000000000004,44.769764,49.84124,0.0,no
19.080000000000002,9.22,11.250001,225.0,190.2,195.2,200.2,205.2,52.980000000000004,44.748116,49.767258,0.0,no
19.04,9.36,11.056001,224.9,190.2,195.2,200.2,205.2,52.92,44.876614,49.69327,0.0,no
19.06,9.26,11.264001,225.2,190.2,195.2,200.2,205.2,52.94,38.288746,49.65628,0.0,no
19.02,9.34,10.901001,225.1,190.2,195.2,200.2,205.2,52.9,37.516403,49.606956,0.0,no
19.080000000000002,9.26,11.31,225.0,190.2,195.1,200.2,205.2,52.96,39.82258,49.69327,0.0,no
19.04,9.24,11.049001,224.9,190.2,195.1,200.2,205.2,52.92,41.89209,49.643948,0.0,no
19.0,9.38,10.85,225.2,190.0,195.1,200.2,205.2,52.88,43.433914,49.619286,0.0,no
19.080000000000002,9.26,11.286,225.2,189.9,195.1,200.2,205.2,53.0,43.699875,49.66861,0.0,no
19.0,9.26,10.841001,225.0,189.9,195.0,200.2,205.2,52.84,44.394722,49.545303,0.0,no
19.0,9.4,10.941001,224.9,189.7,194.6,200.2,205.2,52.9,44.505615,49.582294,0.0,no
19.04,9.32,11.252001,225.2,189.7,194.7,200.2,205.2,52.92,44.832325,49.56996,0.0,no
19.02,9.26,10.981001,225.1,189.7,194.7,200.2,205.2,52.9,33.373318,49.557632,0.0,no
19.04,9.26,11.133,225.0,189.7,194.7,200.2,205.1,52.94,40.07763,49.66861,0.0,no
19.0,9.32,10.896001,225.1,189.9,194.7,200.2,205.1,52.86,43.364067,49.594624,0.0,no
19.02,9.36,10.919001,225.2,189.9,194.7,200.1,205.1,52.9,44.334755,49.79192,0.0,no
19.080000000000002,9.34,11.343,225.0,190.2,194.9,200.1,205.1,52.94,44.7048,49.878235,0.0,no
19.080000000000002,9.26,11.286,224.9,190.2,195.2,200.1,205.0,52.980000000000004,44.415894,49.939888,0.0,no
19.080000000000002,9.26,11.286,225.2,190.2,195.4,200.0,204.8,52.980000000000004,44.683056,49.865902,0.0,no
19.02,9.36,10.834001,225.0,190.2,195.4,200.0,204.8,52.92,22.310905,49.779587,-0.07791057533867995,yes
19.04,9.32,11.111,225.1,190.2,195.4,200.0,204.7,52.92,37.478218,49.81658,-0.0405001932753587,yes
19.080000000000002,9.28,11.271001,225.0,190.2,195.3,199.8,204.7,52.92,41.911697,49.95222,-0.04031961358892733,yes
19.02,9.28,11.017,225.0,190.2,195.3,199.8,204.7,52.9,43.742714,49.84124,-0.006084277400654314,yes
19.04,9.3,11.085001,225.0,190.2,195.2,199.8,204.7,52.94,44.35789,49.96455,0.012485604037846598,no
19.080000000000002,9.24,11.460001,225.0,190.2,195.1,199.8,204.7,52.980000000000004,44.42505,50.063198,-0.021398983584466902,yes
19.080000000000002,9.28,11.311001,225.0,190.2,195.1,199.8,204.7,52.94,44.409275,49.96455,-0.011708367475232517,yes
19.080000000000002,9.28,11.311001,225.0,190.2,195.0,199.8,204.9,52.94,44.70724,49.92756,-0.0017317957765893288,yes
19.06,9.28,11.160001,225.0,190.2,194.8,199.8,205.2,52.92,44.98003,49.902897,0.028602834065101113,no
19.080000000000002,9.26,11.451,225.0,190.2,194.8,199.9,205.2,52.94,40.08108,49.97688,-0.01847759988541464,yes
19.06,9.26,11.286,225.0,190.2,194.9,199.9,205.2,52.94,39.32823,49.989212,0.01619121875269791,no
19.02,9.28,11.087001,225.0,189.7,194.8,199.9,205.2,52.9,42.948723,49.767258,0.04944847408950409,no
19.06,9.34,11.277,225.0,190.2,194.8,199.9,205.2,52.92,43.774586,49.767258,0.05801398855186096,no
19.1,9.26,11.422001,225.1,190.2,194.8,199.9,205.2,52.96,44.202194,49.902897,0.012060566974226417,no
19.02,9.36,11.012,224.9,190.2,194.9,199.9,205.2,52.9,44.40174,49.779587,0.05112210032869913,no
19.02,9.36,11.012,225.2,190.2,194.9,199.9,205.2,52.9,44.749756,49.606956,0.0458824217156969,no
19.04,9.32,11.032001,225.2,190.0,194.9,199.9,205.2,52.94,44.888878,49.730263,0.0608986723234799,no
19.04,9.42,11.068001,225.0,189.9,194.9,199.9,205.2,52.9,36.402664,49.680943,-0.01419938493857309,yes
19.080000000000002,9.26,11.452001,225.2,189.9,194.9,200.1,205.1,52.96,40.267487,49.80425,0.003955737254267233,no
19.0,9.34,10.833,225.1,189.7,194.9,200.2,205.1,52.84,43.608055,49.619286,-0.013948440993626021,yes
19.080000000000002,9.28,11.411,225.0,190.2,194.9,200.2,205.1,52.980000000000004,44.138832,49.853573,0.03383775727826771,no
19.02,9.38,10.953,225.0,190.2,194.9,200.2,205.1,52.92,44.497814,49.7056,0.05594058276439112,no
19.06,9.32,11.225,225.0,190.2,195.2,200.2,205.1,52.92,44.390564,49.754925,0.09232912626022471,no
19.06,9.32,11.225,225.0,190.1,195.2,200.2,205.0,52.92,44.716644,49.7056,0.0680719910501224,no
19.04,9.34,11.127001,225.0,190.2,195.2,200.2,204.9,52.92,43.99193,49.730263,0.058778507451944795,no
19.06,9.26,11.3880005,224.9,190.2,195.2,200.2,204.8,52.92,37.01084,49.81658,-0.03831127746023544,yes
19.080000000000002,9.18,11.343,224.9,190.2,195.2,200.1,204.8,52.92,41.61621,49.84124,-0.02630100455062101,yes
19.04,9.28,11.1,225.2,190.0,195.2,200.1,204.8,52.96,43.65362,49.65628,0.017440113011884195,no
19.04,9.36,10.989,225.1,190.2,195.2,200.1,204.8,52.9,43.67382,49.82891,0.02247293054232713,no
19.06,9.28,11.194,225.0,190.2,195.2,200.1,204.9,52.94,44.222622,49.890564,0.07341877315252804,no
19.02,9.38,10.962001,225.2,190.2,195.2,200.1,204.9,52.9,44.437275,49.853573,0.022122573290478065,no
